Column 1	Column 3
James       	 1.664 
John        	 3.305 
Robert      	 4.881 
Michael     	 6.202 
Mary        	 7.521 
William     	 8.750 
David       	 9.934 
Richard     	10.788 
Charles     	11.552 
Joseph      	12.257 
Thomas      	12.948 
Patricia    	13.486 
Christopher 	14.005 
Linda       	14.523 
Barbara     	15.013 
Daniel      	15.502 
Paul        	15.978 
Mark        	16.449 
Elizabeth   	16.917 
Donald      	17.384 
Jennifer    	17.850 
George      	18.316 
Maria       	18.732 
Kenneth     	19.146 
Susan       	19.543 
Steven      	19.934 
Edward      	20.325 
Margaret    	20.709 
Brian       	21.078 
Ronald      	21.441 
Dorothy     	21.804 
Anthony     	22.166 
Lisa        	22.518 
Kevin       	22.855 
Nancy       	23.189 
Karen       	23.523 
Betty       	23.856 
Helen       	24.187 
Jason       	24.518 
Matthew     	24.848 
Gary        	25.174 
Timothy     	25.494 
Sandra      	25.809 
Jose        	26.117 
Larry       	26.416 
Jeffrey     	26.712 
Frank       	27.004 
Donna       	27.295 
Carol       	27.581 
Ruth        	27.862 
Scott       	28.136 
Eric        	28.409 
Stephen     	28.680 
Andrew      	28.949 
Sharon      	29.210 
Michelle    	29.470 
Laura       	29.725 
Sarah       	29.979 
Kimberly    	30.231 
Deborah     	30.478 
Jessica     	30.723 
Raymond     	30.967 
Shirley     	31.211 
Cynthia     	31.445 
Angela      	31.679 
Melissa     	31.910 
Brenda      	32.138 
Amy         	32.363 
Jerry       	32.585 
Gregory     	32.806 
Anna        	33.026 
Joshua      	33.244 
Virginia    	33.459 
Rebecca     	33.674 
Kathleen    	33.886 
Dennis      	34.094 
Pamela      	34.302 
Martha      	34.508 
Debra       	34.712 
Amanda      	34.914 
Walter      	35.115 
Stephanie   	35.315 
Willie      	35.514 
Patrick     	35.710 
Terry       	35.906 
Carolyn     	36.099 
Peter       	36.290 
Christine   	36.481 
Marie       	36.670 
Janet       	36.860 
Frances     	37.047 
Catherine   	37.234 
Harold      	37.420 
Henry       	37.603 
Douglas     	37.787 
Joyce       	37.969 
Ann         	38.151 
Diane       	38.330 
Alice       	38.509 
Jean        	38.684 
Julie       	38.858 
Carl        	39.032 
Kelly       	39.205 
Heather     	39.373 
Arthur      	39.542 
Teresa      	39.710 
Gloria      	39.877 
Doris       	40.045 
Ryan        	40.212 
Joe         	40.375 
Roger       	40.536 
Evelyn      	40.697 
Juan        	40.856 
Ashley      	41.015 
Jack        	41.173 
Cheryl      	41.330 
Albert      	41.488 
Joan        	41.645 
Mildred     	41.801 
Katherine   	41.958 
Justin      	42.114 
Jonathan    	42.271 
Gerald      	42.426 
Keith       	42.580 
Samuel      	42.734 
Judith      	42.882 
Rose        	43.030 
Janice      	43.173 
Lawrence    	43.314 
Ralph       	43.455 
Nicole      	43.596 
Judy        	43.734 
Nicholas    	43.871 
Christina   	44.009 
Roy         	44.146 
Kathy       	44.282 
Theresa     	44.417 
Benjamin    	44.552 
Beverly     	44.686 
Denise      	44.818 
Bruce       	44.949 
Brandon     	45.080 
Adam        	45.210 
Tammy       	45.340 
Irene       	45.466 
Fred        	45.592 
